day,proc,N,T,n_mle,beta_mle,mu_mle,n_bayes,n_sd,n_lo,n_hi,n_soe,m_soe,gamma_min_soe,ll_exp,ll_soe,ks_stat,ks_p,ks_soe,ksp_soe,a0,a1,a2,a3,a4,a5,a6
20140408,P,9592,50399.611667000005,0.5442443779883281,1712.1086986415537,0.08674976965565591,0.544234072236208,0.0075478297543207715,0.5318010607155115,0.5566324153883287,0.9181946819846942,14.050947111727817,0.003939871427578464,12898.325256378917,16706.034253675178,0.11267655193960702,1.5611217678088317e-106,0.13470450143556592,2.9654470184010963e-152,0.0012042858179888345,0.007869798885669296,0.060252193682793255,1.0721339193768131,1.6516953436628936,527.3726813910931,77.12890880921216
20140408,Tr,31001,50399.611667000005,0.2913087282332051,1060.2680413908831,0.4359205153927802,0.5978206335767737,0.005030052142392893,0.5895290962642328,0.6060770495908899,0.9566611707764988,21.452620564886374,0.0017556088360755864,1308.9375006781702,19499.532442767966,0.24658852074659077,0.0,0.05825330599919443,6.917929849330571e-92,0.0019484713583584224,0.007474867177659017,0.27751731850238953,1.2825256831944645,0.7619359454905041,269.6310416613545,40.45075225971017
20140409,P,9037,50399.989711,0.547631252302473,1657.4788709228003,0.08112308400714392,0.5476096092471717,0.007796511242255814,0.5347649225035193,0.56041443216194,0.9224475223071715,10.593182516901706,0.004532034494263391,12340.92615345701,16726.648591244393,0.13388756745133334,9.806229670597878e-142,0.1267568725075136,4.940152086343206e-127,0.0008806384072357403,0.008628103385341084,0.09225404449061532,0.9406044245201507,2.77787294995828,521.4202201894133,125.89211098560193
20140409,Tr,27812,50399.989711,0.5407930558697067,17.673984833586307,0.25340329026638964,0.5409798888375181,0.005443108817272919,0.5320180820750803,0.5499250135113285,0.9240288118033154,20.69904472139371,0.0028826023909653727,-7809.095877912605,10252.254886207422,0.18753486403702888,0.0,0.03222452340261239,1.5877864119164015e-25,0.001776370256923419,0.011279827841568852,0.21834096142774378,1.614417708417426,1.0300885698046212,239.83069352527042,36.79196202482066
20140410,P,12826,50399.509437,0.5443512120512013,1578.338335427816,0.11595646759229987,0.5443492185904705,0.006533037944216089,0.5335898411304316,0.5550825564496141,0.9102996204152706,10.92362235605625,0.004823653376467809,18549.987903100937,24343.836121650347,0.1214858054632656,2.0149864156496003e-165,0.11988457993398233,4.35062393966957e-161,0.0009252170169867144,0.005913825050146017,0.08810819248764637,1.1324909324064207,2.9051926228831086,489.07252932874195,391.5792692927756
20140410,Tr,33721,50399.509437,0.38355123286016113,293.5661255486302,0.4124575608477962,0.3839360849072131,0.003920334932287589,0.3775003779200435,0.3903975208651183,0.9428318891175822,23.428335310168602,0.0020707028881553637,7781.555887668626,25392.119297422607,0.15448914954447734,0.0,0.029712678392593284,2.687298847434517e-26,0.0021065089687021194,0.008355719196791699,0.17203153408901534,1.568004657832472,3.2486692400383212,283.17173768525697,41.333703215504265
20140411,P,14897,50398.811822,0.5680293174085962,1930.3324703056574,0.1276829147610744,0.5679973375786348,0.0061848556057503765,0.5578056645598614,0.5781528417504084,0.9458679905955958,15.43483717123416,0.0027251510124730563,27447.863173525835,32463.346335303155,0.11149477717281642,9.404003974055524e-162,0.14631160403439103,8.617834406468413e-279,0.0014016450055631853,0.004913870995024194,0.08110644220230542,0.9644828558132384,1.7813057447186493,550.826840884194,103.70153974025675
20140411,Tr,35346,50398.811822,0.31147433310674666,855.6944593589474,0.4828872088486136,0.31157427742254046,0.003038567301517529,0.3065899944456453,0.3165862301726718,0.9617085316853429,21.687038118433506,0.0015617364776146963,6168.023330550568,26801.7093635599,0.22266114353725686,0.0,0.04427212863466068,1.2230492758791313e-60,0.001970504395391273,0.009205027330397695,0.2146604036361936,1.5943162467976824,1.813893198419108,277.67268931158225,27.041692305034058
20140414,P,9782,50394.776616,0.583578769075923,1879.9713172483816,0.08084202949579451,0.5835078023377802,0.007732922739375347,0.5707526603084988,0.596192827441841,0.9483738300948796,11.912849857652446,0.003183031655956691,17497.620174756055,22227.041330395165,0.12103908143757292,2.410151692430417e-125,0.15132622057309014,4.914223077066375e-196,0.0010488207877714512,0.007263721321647538,0.0711906009776515,1.1416022977118105,0.7894588387570514,568.5624636507383,90.46655314117692
20140414,Tr,27933,50394.776616,0.6429862195009594,11.290022292978188,0.197887024489397,0.6429556105289171,0.005199994966915523,0.6343734224284645,0.6514803488757126,0.9618576447402543,18.36553564621847,0.001795812862725848,-3752.180121880516,16408.055147768846,0.2129109968527039,0.0,0.056654397221154396,2.261499465055755e-78,0.001623138455295573,0.011605126165873647,0.258491054250733,1.4141197312856197,2.4562720632324444,255.45563657126812,35.711529690729805
20140415,P,13426,50399.867081000004,0.5985642903212336,1775.435169229244,0.10693827567759752,0.5985045510468366,0.006691412894022246,0.5874664299413075,0.6094800437606899,0.9384277064670545,11.72412957203399,0.0036289078206262412,27407.80176408164,33026.76057198528,0.10715580048954909,1.0585704154375831e-134,0.1347774042676309,3.699129839330009e-213,0.0010440419717126148,0.004751362031861255,0.07444158490722393,1.162910822152316,0.3743892641474684,583.0765623035335,89.56766909716755
20140415,Tr,34561,50399.867081000004,0.3006146259744383,811.3633496420406,0.4795996192949312,0.30072557255239984,0.0030284204611043786,0.2957589760294761,0.305721818145941,0.9373373593578097,18.61215043291949,0.0026875430598369797,2866.133248304308,22690.5625844828,0.21561250605671456,0.0,0.03189388691519501,5.608497624464574e-31,0.0015868940711140317,0.013472919323868397,0.2146060181431879,1.4605460220440958,1.5564096601068431,263.78500229610273,39.090397629539154
20140416,P,13058,50399.416297,0.6006658209968226,1828.6502778746105,0.10346360719716936,0.6005919538805684,0.006791081246299617,0.589388207587406,0.6117297106892791,0.9415179180626186,12.310368952913045,0.003396421057344013,26874.111415830463,31488.71582599436,0.0988680736188775,1.461887888215289e-111,0.13633466068635758,3.7106605579804664e-212,0.0010900515306889538,0.006149012765266521,0.06333159582623817,1.111049943817022,4.687282193134892e-06,571.7882000401609,247.97800220134872
20140416,Tr,27191,50399.416297,0.30487277615320685,857.2940943603971,0.375034288693689,0.30497861336959875,0.003401597657762971,0.29940152030288075,0.3105920251002857,0.9539769953900223,22.180825126729033,0.0018037705686781368,-1601.8048489626672,14231.774930227974,0.21425253448820192,0.0,0.04247335474704206,4.63228896048055e-43,0.0019678857817770237,0.012953675737210514,0.168303544990109,1.7091186916021621,1.0206197864988797,274.3347640223109,38.95283802590102
20140417,P,10761,50396.679932,0.5770697605533129,1772.0340868685435,0.09030660573819632,0.5770129926244013,0.007331964243407982,0.5649235209013288,0.5890445825882973,0.9280007423011399,11.898357803200282,0.004008219952570429,18679.628288328502,23024.08541679923,0.11006108874242526,5.516411248960577e-114,0.1426158640350269,1.9308771477402402e-191,0.0010304976535952066,0.006559559443362417,0.06834544576239313,1.1841535283070976,0.00015281757762381244,564.5973481314193,79.95707607696772
20140417,Tr,27567,50396.679932,0.6594048312830709,8.17916708425602,0.1863187180453524,0.6593450095015744,0.005228731802490144,0.6507112205712753,0.6679126246742997,0.9491120951023763,18.964319825125486,0.0022340692612321266,-6468.403504231479,11324.981386531053,0.1927734893517814,0.0,0.05770353652510174,3.149590319819628e-80,0.0016514929722589895,0.011944992071774699,0.2749124142914532,1.461002382309638,0.8202620232519761,231.5528574508521,37.44746952941466
20140422,P,6784,50397.657063000006,0.5915037107264784,1844.6284093243987,0.054987451203703006,0.5913768010666992,0.009340458232589667,0.5759560723705103,0.6066849384205052,0.9135599092557473,11.76100005440226,0.004536426670533413,11496.77998309476,13930.703063030094,0.09780603005064736,6.112230760352923e-57,0.15949256046453836,3.217767631892838e-151,0.000996762678261434,0.007129136217435755,0.05371935334638825,0.945436017434086,0.8554109986889111,577.6732851519868,81.01929026573637
