day,proc,W,n_hb
20140411,Tr,60,0.8628580379054276
20140411,Tr,300,0.9223850241194727
20140411,Tr,600,0.9411401500430836
20140414,P,1,0.6702716261186392
20140414,P,5,0.737468730854451
20140414,P,10,0.7658173058265603
20140414,P,30,0.8210133329393323
20140414,P,60,0.8531482402714379
20140414,P,300,0.90788428622195
20140414,P,600,0.9168812498104684
20140414,Tr,1,0.6211829155660007
20140414,Tr,5,0.7346803604918893
20140414,Tr,10,0.7755730322054144
20140414,Tr,30,0.834274389077748
20140414,Tr,60,0.8647145032864165
20140414,Tr,300,0.9161960469568494
20140414,Tr,600,0.9330719920276696
20140415,P,1,0.6964139035599985
20140415,P,5,0.7478692263472995
20140415,P,10,0.7706158119626324
20140415,P,30,0.8087606712522846
20140415,P,60,0.8298602849661947
20140415,P,300,0.8989152700344577
20140415,P,600,0.9212827753360122
20140415,Tr,1,0.6431444425207102
20140415,Tr,5,0.7421146370855405
20140415,Tr,10,0.7831303372811089
20140415,Tr,30,0.8385484336281959
20140415,Tr,60,0.8717445082576778
20140415,Tr,300,0.9262664675938972
20140415,Tr,600,0.9441791617816803
20140416,P,1,0.6717270574381351
20140416,P,5,0.7308284616899117
20140416,P,10,0.7532650288432096
20140416,P,30,0.7879040970671056
20140416,P,60,0.8198983362151342
20140416,P,300,0.8804066812616035
20140416,P,600,0.9064208541985377
20140416,Tr,1,0.6060291730114731
20140416,Tr,5,0.7032016691558309
20140416,Tr,10,0.7467897425406547
20140416,Tr,30,0.811054067375708
20140416,Tr,60,0.8480580537395
20140416,Tr,300,0.9042521630724817
20140416,Tr,600,0.925808456234197
20140417,P,1,0.6446108149339607
20140417,P,5,0.7050310100632876
20140417,P,10,0.7315602167426425
20140417,P,30,0.7725420379870784
20140417,P,60,0.8068003770794019
20140417,P,300,0.8697469449817202
20140417,P,600,0.8935032838208377
20140417,Tr,1,0.6298115733633455
20140417,Tr,5,0.7406835959438507
20140417,Tr,10,0.7840110277771417
20140417,Tr,30,0.8435720191881831
20140417,Tr,60,0.8718871229617416
20140417,Tr,300,0.923970302526745
20140417,Tr,600,0.9382035961571699
20140422,P,1,0.6265757176816467
20140422,P,5,0.6800540424349131
20140422,P,10,0.7064419820443726
20140422,P,30,0.7375097049750213
20140422,P,60,0.7633991918182581
20140422,P,300,0.8301540232415506
20140422,P,600,0.8518759279613677
20140422,Tr,1,0.5815825794727753
20140422,Tr,5,0.7281479584188915
20140422,Tr,10,0.7804510218415592
20140422,Tr,30,0.8447635980514042
20140422,Tr,60,0.8747292530210672
20140422,Tr,300,0.9237422083514119
20140422,Tr,600,0.940762657387268
20140423,P,1,0.6982206665171999
20140423,P,5,0.7678813238861737
20140423,P,10,0.7925851940331909
20140423,P,30,0.8358023573040643
20140423,P,60,0.860091029094563
20140423,P,300,0.905894215759418
20140423,P,600,0.9182552456523693
20140423,Tr,1,0.6484051108954656
20140423,Tr,5,0.7623779048241051
20140423,Tr,10,0.804760890982376
20140423,Tr,30,0.8634540017277696
20140423,Tr,60,0.8929255256884154
20140423,Tr,300,0.9375089707223399
20140423,Tr,600,0.9480994147873784
20140424,P,1,0.6860486449227197
20140424,P,5,0.750890124423327
20140424,P,10,0.7825094526390138
20140424,P,30,0.8365790836088218
20140424,P,60,0.8631045969136141
20140424,P,300,0.9207773562538941
20140424,P,600,0.9362655348765938
20140424,Tr,1,0.668281768150228
20140424,Tr,5,0.7792762513541869
20140424,Tr,10,0.819756563737657
20140424,Tr,30,0.8782503971933194
20140424,Tr,60,0.9048152788175966
20140424,Tr,300,0.9480027078847864
20140424,Tr,600,0.9584691370088524
20140425,P,1,0.6830909869889743
20140425,P,5,0.729877944143842
20140425,P,10,0.753880598207928
20140425,P,30,0.7875461581479207
20140425,P,60,0.8113836399311575
20140425,P,300,0.8713767938468195
20140425,P,600,0.8965317832900946
20140425,Tr,1,0.6239510566028921
20140425,Tr,5,0.7364353232024312
20140425,Tr,10,0.7835517238818742
20140425,Tr,30,0.8416530905921038
20140425,Tr,60,0.8723528586581872
20140425,Tr,300,0.9226281904181768
20140425,Tr,600,0.9402842404636998
20140428,P,1,0.6413481534791432
20140428,P,5,0.7017783484466044
20140428,P,10,0.7278615348438081
20140428,P,30,0.7690153646685404
20140428,P,60,0.7977117602145495
20140428,P,300,0.8653558289723277
20140428,P,600,0.8926971276888359
20140428,Tr,1,0.6240448790038533
20140428,Tr,5,0.6965826371859094
20140428,Tr,10,0.7339307605624962
20140428,Tr,30,0.7855687874959296
20140428,Tr,60,0.8182921116543593
20140428,Tr,300,0.8865445584703309
20140428,Tr,600,0.9119907615644117
20140429,P,1,0.6902918349791715
20140429,P,5,0.7482899883353626
20140429,P,10,0.7739307386126523
20140429,P,30,0.8143785692298543
20140429,P,60,0.8413696099105465
20140429,P,300,0.8943601665436732
20140429,P,600,0.9185660295093161
20140429,Tr,1,0.6540612216752228
20140429,Tr,5,0.7524712909876868
20140429,Tr,10,0.7919596439509893
20140429,Tr,30,0.8486244415880587
20140429,Tr,60,0.8800146046366017
20140429,Tr,300,0.9326059517967218
20140429,Tr,600,0.9505360306298528
20140430,P,1,0.7607728680386789
20140430,P,5,0.8359585196867566
20140430,P,10,0.8593463842272574
20140430,P,30,0.8911219722320074
20140430,P,60,0.9115271865730321
20140430,P,300,0.9440599117187222
20140430,P,600,0.9543284864687492
20140430,Tr,1,0.6841438620934464
20140430,Tr,5,0.7882659748665714
20140430,Tr,10,0.8276496328610387
20140430,Tr,30,0.8771870777952167
20140430,Tr,60,0.9036951632632939
20140430,Tr,300,0.9439978938731145
20140430,Tr,600,0.9553117263431934
