n_true,profile,rep,N,n_exp,n_soe,n_exp_1s,beta_exp
0.7,slow,0,5612,0.0536742014251889,0.6961030322909252,0.4173753000582357,242.5836018227909
0.7,slow,1,5928,0.0614537157806224,0.5337285549651107,0.3784632515928811,192.76485431388008
0.7,slow,2,6054,0.0542130658647307,0.6893843743635393,0.3106802667494922,264.6055296180333
0.7,slow,3,5579,0.0773564530899838,0.755197040540809,0.4932402041997408,71.35096726345661
0.7,slow,4,5423,0.0487001426654034,0.6395430069539471,0.3246969265391479,288.597197840936
0.7,slow,5,5882,0.0597207970065859,0.6915953257706872,0.3384521622292432,165.42705912445348
0.7,slow,6,6076,0.0512426205337711,0.6536169371653423,0.3041361829515588,310.3820002111351
0.7,slow,7,5849,0.0565526554723998,0.5721739208528335,0.3193488438268019,167.5185231962506
0.7,slow,8,5994,0.078394845925091,0.6191734591119662,0.3011018998992532,94.86932477623571
0.7,slow,9,5633,0.0569074937955831,0.350122085101653,0.3215466948388648,288.8375994914365
0.7,slow,10,5402,0.0461520302390051,0.6859794364244416,0.4386737232891731,293.2341044910342
0.7,slow,11,5747,0.0570665192950671,0.6169525801824172,0.2824907784344209,202.03341068766528
0.7,slow,12,5316,0.0513295844783429,0.7607849025426293,0.3850933283060471,226.2922071182691
0.7,slow,13,5771,0.0944795599079675,0.7594088880530554,0.3112558852786002,62.26785011120902
0.7,slow,14,5645,0.0610054418460086,0.6438831210783338,0.480239616796092,130.5128689610044
0.7,slow,15,5761,0.0772369778611528,0.6753769614573607,0.3288154446409961,91.60645316800404
0.7,slow,16,5918,0.0734737814754005,0.7235743073837305,0.3264230265443856,83.10893991630039
0.7,slow,17,5875,0.0583396164229482,0.6276867029778551,0.3084490638711814,183.7530313083914
0.7,slow,18,5896,0.1126933222065368,0.6998262393061846,0.3548370725058566,34.41970385827882
0.7,slow,19,5927,0.0932715067405678,0.7755266072052541,0.4339193251313359,56.16813739116693
0.7,slow,20,5699,0.0566718460493859,0.6316720590274636,0.3781682691175268,181.90625235329904
0.7,slow,21,5920,0.0623123564369813,0.5514945585909296,0.3952435425790825,110.7217671707297
0.7,slow,22,5535,0.0641167352165132,0.7506511610313101,0.6440453213171546,144.7632144513492
0.7,slow,23,5800,0.0478217660344287,0.649411431189221,0.3155478557510016,475.5592334257164
0.7,slow,24,6048,0.0478515075690121,0.614205185331728,0.2589166014697971,250.5885329449785
0.7,slow,25,5884,0.0676602166871684,0.7108628238125324,0.3971798054581008,163.53276053478092
0.7,slow,26,5694,0.0682644478324964,0.6799360352677533,0.297521919430388,114.17924077908545
0.7,slow,27,6008,0.0532596549733022,0.6215786749721721,0.290005090565622,213.50685663078264
0.7,slow,28,5689,0.0584641351767794,0.698551598452387,0.3337894396742111,215.9731848001481
0.7,slow,29,5688,0.0434911595779278,0.6913185342043399,0.3256387998961278,451.6306602081272
0.85,fast,0,5390,0.6704478032047777,0.8198671339346841,0.7939533376247738,1224.5118105701972
0.85,fast,1,6444,0.7014859361551947,0.8488937286176118,0.819379931862592,1256.8500304341717
0.85,fast,2,6218,0.6971308613897843,0.8519659839304007,0.8146568408459044,1043.750617070672
0.85,fast,3,6458,0.6943792965285871,0.8640322359068692,0.8165395386531836,1034.492043537533
0.85,fast,4,6608,0.7068978667078866,0.8536888162498653,0.823782083867303,1054.3826349541057
0.85,fast,5,5135,0.6628982210999023,0.8222589326044221,0.7898949778607328,1049.8886995269038
0.85,fast,6,6284,0.6996505338044826,0.8863743587512405,0.8094568215260612,1020.8455568292102
0.85,fast,7,5746,0.6822967078732337,0.8382195947385197,0.8106903670620349,1214.9699046256226
0.85,fast,8,5276,0.6731920615904667,0.8253903663116832,0.7932628486391018,1182.161731419558
