grid,K,beta_min,beta_max,day,proc,n,loglik,success,mass_lt_1ms,mass_1ms_100ms,mass_0p1_10s,mass_gt_10s
K7_1e-2_1e4,7,0.01,10000.0,20140402,P,0.9276721318154756,19942.080606634485,True,0.0088411922867676,0.5605660138429749,0.1836340175284851,0.174630908157248
K7_1e-2_1e4,7,0.01,10000.0,20140402,Tr,0.9391426800604218,15208.793347079074,True,0.0038493912843173,0.2696117872776662,0.3457779329958786,0.3199035685025594
K7_1e-2_1e4,7,0.01,10000.0,20140403,P,0.968560058145542,38338.55079961389,True,0.0090921530670401,0.5654665079226432,0.208839793281866,0.1851616038739927
K7_1e-2_1e4,7,0.01,10000.0,20140403,Tr,0.9632685390930912,23864.66621388068,True,0.0113387118152621,0.2069476122980142,0.4759372531964724,0.2690449617833422
K7_1e-2_1e4,7,0.01,10000.0,20140404,P,0.9486663004027988,35337.91634444757,True,0.0092464626414653,0.5591728393692124,0.1881351888975887,0.1921118094945323
K7_1e-2_1e4,7,0.01,10000.0,20140404,Tr,0.9514333124254986,31461.560111709856,True,0.0038293940429447,0.254370333454644,0.385257651986656,0.3079759329412537
K7_1e-2_1e4,7,0.01,10000.0,20140407,P,0.9310997957971978,23888.12522124913,True,0.009460390887616,0.5546578600039368,0.2122435717126723,0.1547379731929725
K7_1e-2_1e4,7,0.01,10000.0,20140407,Tr,0.9426989629508552,17302.40656758873,True,0.0037296070942774,0.2601628484058457,0.4015117507549284,0.2772947566958035
K7_1e-2_1e4,7,0.01,10000.0,20140408,P,0.9181946819846942,16706.034253675178,True,0.0077128908809212,0.5438896348277221,0.1674655856204745,0.1991265706555763
K7_1e-2_1e4,7,0.01,10000.0,20140408,Tr,0.9566611707764988,19499.53244276797,True,0.004045075225971,0.2772504011162596,0.405769886821836,0.2695958076124324
K7_1e-2_1e4,7,0.01,10000.0,20140409,P,0.9224475223071716,16726.648591244393,True,0.0125892110985601,0.5491989496889961,0.1863144869426304,0.1743448745769849
K7_1e-2_1e4,7,0.01,10000.0,20140409,Tr,0.9240288118033154,10252.254886207422,True,0.003679196202482,0.2501315792233166,0.3797827322694864,0.2904353041080304
K7_1e-2_1e4,7,0.01,10000.0,20140410,P,0.9102996204152706,24343.836121650347,True,0.0391579269292775,0.518124455557573,0.2013572857282884,0.1516599522001316
K7_1e-2_1e4,7,0.01,10000.0,20140410,Tr,0.9428318891175822,25392.119297422607,True,0.0041333703215504,0.3156584300856402,0.3288319998722625,0.2942080888381289
K7_1e-2_1e4,7,0.01,10000.0,20140411,P,0.9458679905955958,32463.346335303155,True,0.0103701539740256,0.5686398983313805,0.1775547277836292,0.1893032105065604
K7_1e-2_1e4,7,0.01,10000.0,20140411,Tr,0.9617085316853428,26801.7093635599,True,0.0027041692305034,0.2958116212957733,0.3740920283159618,0.2891007128431042
K7_1e-2_1e4,7,0.01,10000.0,20140414,P,0.9483738300948796,22227.041330395165,True,0.0090466553141176,0.5764570520383089,0.1853508307488325,0.1775192919936205
K7_1e-2_1e4,7,0.01,10000.0,20140414,Tr,0.9618576447402544,16408.055147768846,True,0.0035711529690729,0.2800183572035926,0.3999030273792949,0.2783651071882937
K7_1e-2_1e4,7,0.01,10000.0,20140415,P,0.9384277064670544,33026.76057198528,True,0.0089567669097167,0.5868204549450081,0.1907326671224555,0.151917817489874
K7_1e-2_1e4,7,0.01,10000.0,20140415,Tr,0.9373373593578096,22690.5625844828,True,0.0039090397629539,0.2793490988971712,0.3606606203475975,0.2934186003500871
K7_1e-2_1e4,7,0.01,10000.0,20140416,P,0.9415179180626186,31488.71582599436,True,0.0247978002201348,0.5717882469129828,0.1744365902079404,0.1704952807215606
K7_1e-2_1e4,7,0.01,10000.0,20140416,Tr,0.9539769953900225,14231.774930227974,True,0.0038952838025901,0.2845409618872996,0.3392154141503252,0.3263253355498074
K7_1e-2_1e4,7,0.01,10000.0,20140417,P,0.92800074230114,23024.08541679923,True,0.0079957076076967,0.5645988763071955,0.1867607985931029,0.1686453597931448
K7_1e-2_1e4,7,0.01,10000.0,20140417,Tr,0.9491120951023764,11324.981386531052,True,0.0037447469529414,0.2397554776833718,0.421012652522417,0.2845992179436459
K7_1e-2_1e4,7,0.01,10000.0,20140422,P,0.9135599092557471,13930.703063030094,True,0.0081019290265736,0.5862273951388759,0.1482629550897968,0.1709676300005009
K7_1e-2_1e4,7,0.01,10000.0,20140422,Tr,0.9465608222255636,6509.675026964782,True,0.0028871232808005,0.2058513158889744,0.4611640412840146,0.2766583417717739
K7_1e-2_1e4,7,0.01,10000.0,20140423,P,0.9448521191962856,26584.73016010895,True,0.0081413565529709,0.6119426920420635,0.1671842183401677,0.1575838522610834
K7_1e-2_1e4,7,0.01,10000.0,20140423,Tr,0.962141498355582,19094.703068704668,True,0.0043509795560069,0.2566203813968843,0.4029048796829365,0.298265257719754
K7_1e-2_1e4,7,0.01,10000.0,20140424,P,0.9505970798500518,37219.823731561264,True,0.0102317315440937,0.5969809060619448,0.1774086206175437,0.1659758216264696
